name,address,latitude,longitude
スターバックスコーヒー王子駅前店,東京都北区王子1-9-5,35.754143,139.737732
新潟松崎店,新潟県新潟市東区松崎862,37.933609,139.113037
宇都宮インターパークステージ店,栃木県宇都宮市インターパーク4-2-3,36.49514,139.911209
ららぽーとEXPOCITY店,大阪府吹田市千里万博公園2-1,34.805485,135.53392
摂津本山岡本ビル店,兵庫県神戸市東灘区岡本1-2-17,34.727222,135.276443
イオンモールりんくう泉南店,大阪府泉南市りんくう南浜3-12,34.382992,135.267197
浅草雷門通り店,東京都台東区雷門2-16-7,35.710918,139.794678
岡山けやき通り店,岡山県岡山市中区西川原124-1,34.680775,133.941833
浜松佐鳴台店,静岡県浜松市中央区佐鳴台3-52-34,34.709797,137.69693
下北沢店,東京都世田谷区北沢2-30-6,35.662991,139.66713
大崎ブライトタワー店,東京都品川区北品川5-6-1,35.622047,139.730103
品川インターシティ店,東京都港区港南2-15-2,35.626335,139.742004
横須賀モアーズシティ店,神奈川県横須賀市若松町2-30,35.278214,139.669861
金町駅南口店,東京都葛飾区金町6-4-2,35.769032,139.871368
愛宕グリーンヒルズ店,東京都港区愛宕2-5-1,35.662052,139.748962
羽生パーキングエリア（下り線）店,埼玉県羽生市弥勒三新田824,36.180504,139.585556
霞ダイニング店,東京都千代田区霞が関3-2-5,35.671192,139.74791
元八王子店,東京都八王子市元八王子町1-409-2,35.664753,139.28833
イオンモール下妻店,茨城県下妻市堀篭972-1,36.190086,139.98941
イオンモール大阪ドームシティ店,大阪府大阪市西区千代崎3-13-1,34.669487,135.477341
ASTY岐阜店,岐阜県岐阜市橋本町1-10-1,35.409679,136.754929
ユニバーサル・タワー店,大阪府大阪市此花区島屋6-2-45,34.667362,135.437302
スターバックスコーヒー京都祇園ホテル店,京都府京都市東山区祇園町南側555,35.003292,135.776566
大分大道バイパス店,大分県大分市羽屋229-1,33.210636,131.602081
JR新大阪アルデ店,大阪府大阪市淀川区西中島5-16-1,34.733185,135.500671
熊本New‐S店,熊本県熊本市中央区上通町2-2,32.803276,130.710541
調布パルコ店,東京都調布市小島町1-38-1,35.652805,139.543518
四日市尾平店,三重県四日市市尾平町天王川原1863-1,34.977097,136.591003
イオン南風原店,沖縄県島尻郡南風原町宮平264,26.200636,127.737434
高松ゆめタウン店,香川県高松市三条町中所608-1,34.317055,134.041534
