name,address,latitude,longitude
鎌倉小町店,神奈川県鎌倉市小町2-2-18,35.32082,139.551941
金沢松村店,石川県金沢市松村3-358,36.582657,136.61438
梅森台店,愛知県日進市梅森台1-174,35.131847,137.014175
稲沢大塚店,愛知県稲沢市大塚北8-56-3,35.242832,136.79808
大津堅田店,滋賀県大津市本堅田3-13-2,35.116005,135.914322
阪南店,大阪府阪南市黒田426-8,34.355659,135.244858
天理岩室店,奈良県天理市岩室町88-1,34.595329,135.811462
横浜江田店,神奈川県横浜市青葉区荏田北3-5-10,35.560345,139.549881
栄生駅前店,愛知県名古屋市西区栄生1-35-20,35.183662,136.874146
ルーセントタワー店,愛知県名古屋市西区牛島町6-1,35.175369,136.881287
稲城向陽台店,東京都稲城市向陽台6-10,35.641743,139.490433
エスカ店,愛知県名古屋市中村区椿町6-9,35.170307,136.879837
一社店,愛知県名古屋市名東区一社1-87,35.167755,136.995193
京都八幡店,京都府八幡市戸津東代60-1,34.864788,135.722549
松本庄内店,長野県松本市出川町1-12-1,36.210831,137.970108
米子弓ヶ浜店,鳥取県米子市大篠津町689-11,35.49715,133.262238
なぎさモール辻堂店,神奈川県藤沢市辻堂西海岸2-11-4,35.324791,139.442505
板橋四葉店,東京都板橋区四葉2-6-10,35.780518,139.651749
静岡インター店,静岡県静岡市駿河区緑が丘町2-1,34.955585,138.381989
太田川店,愛知県東海市大田町東畑158,35.016376,136.897018
宇都宮平松本町店,栃木県宇都宮市平松本町1109-4,36.544331,139.9039
春日部店,埼玉県春日部市谷原3-2-2,35.971657,139.750381
横浜鍛冶ヶ谷店,神奈川県横浜市栄区鍛冶ヶ谷1-2-3,35.366447,139.55954
守山八剣店,愛知県名古屋市守山区元郷2-802,35.202969,137.001358
三木平田店,兵庫県三木市平田2-1-5,34.804409,134.975433
メッツ大曽根店,愛知県名古屋市東区矢田2-1-95,35.191898,136.940369
近江八幡店,滋賀県近江八幡市鷹飼町北3-15-8,35.131592,136.10379
安井店,愛知県名古屋市北区安井町4-13-25,35.211525,136.922882
カインズ木更津金田店,千葉県木更津市中島426東153街区1画地,35.434689,139.917969
松戸常盤平店,千葉県松戸市常盤平6-28-3,35.793774,139.956879
