name,address,latitude,longitude
仲御徒町店,東京都台東区上野5-15-15,35.705338,139.775787
東武新越谷駅店,埼玉県越谷市南越谷1-11-4,35.875111,139.789734
御堂筋店,大阪府大阪市中央区南船場3-11-24,34.676712,135.500763
アスティ岐阜店,岐阜県岐阜市橋本町1,35.41011,136.756775
ホームズ葛西店,東京都江戸川区東葛西9-3-6,35.653355,139.880692
ドトールコーヒーショップ立川南口駅前店,東京都立川市柴崎町3-3-2,35.69693,139.413925
西新宿1丁目南店,東京都新宿区西新宿1-14-8,35.688438,139.696762
東十条店,東京都北区東十条4-5-23,35.76601,139.728165
新宿ビルディング店,東京都新宿区西新宿1-8-1,35.69088,139.69725
あきる野とうきゅう店,東京都あきる野市秋川1-17-1,35.730888,139.287292
水道橋東口店,東京都千代田区三崎町2-1-16,35.700134,139.755722
両国東口店,東京都墨田区両国3-26-5,35.695602,139.793457
木場店,東京都江東区東陽3-7,35.669563,139.809601
ドトールコーヒーショップ北千住西口店,東京都足立区千住3-92,35.751083,139.804565
ビーンズ赤羽店,東京都北区赤羽1-1-1,35.778782,139.720963
姫路みゆき通り店,兵庫県姫路市駅前町237,34.827621,134.690842
祐天寺店,東京都目黒区祐天寺1-23-21,35.638054,139.692078
神田松永町店,東京都千代田区神田松永町18-1,35.700535,139.775192
渋谷センター街店,東京都渋谷区宇田川町28-2,35.660206,139.698349
所沢店,埼玉県所沢市日吉町3-5,35.787712,139.472351
伏見桃山駅前店,京都府京都市伏見区両替町4-293-1,34.932503,135.763809
西荻窪南口店,東京都杉並区西荻南3-9-11,35.702972,139.600143
中野島店,神奈川県川崎市多摩区中野島3-14-33,35.629482,139.550247
ジョイフル本田千葉ニュータウン店,千葉県印西市牧の原2-1,35.807137,140.155594
天神ソラリアステージ店,福岡県福岡市中央区天神2-11-3,33.59042,130.398895
文苑堂富山豊田店,富山県富山市豊田町2-8-14,36.723228,137.236862
会津若松アピオ店,福島県会津若松市インター西118,37.520454,139.917221
沼袋店,東京都中野区沼袋3-27-10,35.72031,139.662994
埼玉大井イトーヨーカドー店,埼玉県ふじみ野市西鶴ケ岡1-3-15,35.862591,139.501144
御徒町昭和通り店,東京都台東区上野6-6-1,35.708542,139.776031
