name,address,latitude,longitude
南浦和駅東口店,埼玉県さいたま市南区南浦和2-36-15,35.847885,139.669891
旗の台中原街道店,東京都品川区旗の台1-4-13,35.607254,139.703766
南池袋1丁目店,東京都豊島区南池袋1-21-7,35.72871,139.71228
新子安オルトヨコハマ店,神奈川県横浜市神奈川区新子安1-2-4,35.487392,139.652786
パルテきたこし店,埼玉県越谷市大沢3-6-1,35.901863,139.781036
中延駅前店,東京都品川区中延4-5-3,35.606094,139.712753
なかもず駅前店,大阪府堺市北区中百舌鳥町2-10,34.557819,135.504486
新宿2丁目店,東京都新宿区新宿2-5-8,35.689766,139.70694
神谷町店,東京都港区虎ノ門4-1-10,35.665405,139.744537
JR倉敷駅店,岡山県倉敷市阿知1-1-1,34.601593,133.765335
赤坂2丁目店,東京都港区赤坂2-11-15,35.670048,139.741119
ドトールコーヒーショップ京都四条通り店,京都府京都市下京区四条通麸屋町西入ル,NaN,NaN
永福町店,東京都杉並区和泉3-4-2,35.676025,139.643799
初台北口店,東京都渋谷区本町1-2-3,35.681213,139.685837
本八幡南口店,千葉県市川市南八幡4-1-13,35.720695,139.927307
盛岡中央店,岩手県盛岡市大通1-6-17,39.702557,141.14888
東武動物公園東口店,埼玉県南埼玉郡宮代町百間2-3-24,36.025322,139.726791
銀座柳通り店,東京都中央区銀座1-9-12,35.67342,139.768509
JR加古川駅店,兵庫県加古川市加古川町溝之口503-2,34.765945,134.840759
アトレ上野店,東京都台東区上野7-1-1,35.713696,139.776917
関内大通り店,神奈川県横浜市中区南仲通3-35,35.448189,139.638397
西鉄福岡駅店,福岡県福岡市中央区天神2-11-3,33.59042,130.398895
郡山富久山店,福島県郡山市富久山町八山田字大森新田36-1,37.431728,140.382843
海老名ビナウォーク店,神奈川県海老名市中央1-13-1,35.453106,139.394333
狛江店,東京都狛江市元和泉1-2-1,35.633244,139.577957
南柏店,千葉県柏市南柏1-1-1,35.844807,139.953995
相鉄大和店,神奈川県大和市中央2-1-1,35.470112,139.460907
仙台泉八文字屋店,宮城県仙台市泉区高玉町4-1,38.31778,140.894852
名駅名進研ビル店,愛知県名古屋市西区名駅2-34-19,35.175327,136.881653
市川総合病院店,千葉県市川市菅野5-11-13,35.732296,139.921616
